job_change_intention,city_development_index,male,relevent_experience,education_level,experience,last_new_job,training_hours
0,0.92,1,0,1,5,-1,44
1,0.624,1,1,5,1,1,24
0,0.92,1,1,5,5,2,72
1,0.624,1,1,5,8,5,36
0,0.878,1,1,5,15,1,322
1,0.624,1,0,5,13,1,52
0,0.92,1,1,5,7,2,180
0,0.897,1,1,5,6,1,29
0,0.91,1,1,5,5,-1,152
0,0.893,1,0,5,19,-1,188
1,0.92,0,1,5,3,1,100
1,0.939,1,1,5,6,1,12
1,0.624,1,0,5,0,-1,18
0,0.769,1,1,5,14,2,36
0,0.897,1,1,5,10,5,226
1,0.624,1,1,5,14,1,94
0,0.899,1,1,5,4,1,32
1,0.878,1,1,3,10,-1,51
0,0.92,1,1,5,11,1,72
1,0.92,0,0,3,16,-1,138
0,0.624,1,1,5,4,1,76
0,0.921,1,1,5,5,1,10
0,0.884,1,1,5,6,4,14
1,0.624,1,1,5,4,-1,54
1,0.92,1,1,5,8,2,54
0,0.926,1,1,3,5,1,116
1,0.754,1,0,5,14,1,3
0,0.926,1,1,5,19,1,130
0,0.624,1,0,5,2,-1,64
0,0.92,1,1,3,4,1,44
0,0.836,0,1,5,18,5,23
1,0.527,1,1,5,14,2,114
0,0.92,1,0,5,2,1,110
0,0.55,0,1,5,15,2,55
0,0.887,1,0,5,6,-1,140
1,0.624,0,1,5,0,1,68
0,0.92,1,1,5,6,4,8
0,0.624,1,0,3,0,-1,332
0,0.926,1,1,5,14,4,334
0,0.762,1,1,5,6,1,45
0,0.893,1,1,5,7,1,172
0,0.92,1,0,5,19,1,90
1,0.624,1,1,5,4,2,15
1,0.92,0,0,5,16,5,35
0,0.91,1,1,5,19,4,92
1,0.666,1,1,5,14,3,258
0,0.91,1,0,5,1,1,7
0,0.91,1,1,5,16,2,104
0,0.896,1,0,5,9,1,38
0,0.866,1,0,3,16,-1,130
0,0.926,1,1,5,10,1,262
0,0.92,1,0,5,2,1,52
0,0.802,1,1,5,9,4,141
1,0.624,1,1,5,9,4,144
1,0.624,1,0,5,0,1,107
0,0.92,1,1,5,4,1,99
0,0.855,1,1,5,10,1,41
0,0.925,1,0,3,5,-1,77
0,0.855,1,0,5,6,5,246
1,0.91,0,0,5,9,5,60
0,0.926,1,1,5,20,1,70
1,0.624,0,1,5,3,1,22
0,0.92,1,1,5,9,2,22
0,0.725,1,0,5,15,1,19
0,0.92,1,1,5,9,1,6
1,0.624,1,1,5,8,2,23
0,0.939,0,1,5,9,5,148
0,0.926,1,1,5,11,-1,50
0,0.92,1,0,3,9,1,81
0,0.804,1,1,5,11,1,46
1,0.92,1,1,5,18,1,147
0,0.855,0,1,5,8,2,66
0,0.92,1,1,5,7,1,86
0,0.83,1,1,3,5,-1,162
0,0.92,1,0,5,19,3,250
0,0.92,1,0,5,11,2,54
0,0.92,1,0,3,2,1,54
1,0.924,1,0,5,16,1,332
1,0.855,1,1,5,2,1,73
1,0.624,1,1,5,6,2,42
0,0.92,1,1,3,4,1,116
0,0.887,1,0,5,4,-1,22
0,0.91,0,1,5,12,1,6
0,0.939,1,0,1,2,-1,28
0,0.92,1,1,5,10,1,38
0,0.899,1,1,5,13,1,20
0,0.624,1,1,5,5,1,47
0,0.776,1,1,5,5,-1,42
0,0.698,1,1,3,4,1,148
1,0.556,1,1,5,9,2,192
0,0.92,0,0,5,3,-1,45
1,0.55,1,1,5,4,-1,61
0,0.762,1,0,3,8,1,36
0,0.866,1,1,5,11,1,143
